Track Title,Similar Songs,Similarity Scores
اه حبايب,بيتكلم عليا; خدنى الحنين; دول مش حبايب; بيحسدونى; طبيب جراح,0.9505; 0.9505; 0.9503; 0.9449; 0.9425
حبيت ارمى الشبك,ليله وداعنا حبيبى; سكت الكلام; خسرت الناس; بيتكلم عليا; تقولو ليه,0.9178; 0.9168; 0.9161; 0.9123; 0.9121
حبيبى والزمن,مستنى منى ايه; الدنيا; قول الكلمتين; للهوى احكام; تخسر رهانك,0.9407; 0.9394; 0.9390; 0.9330; 0.9316
حد ينسى قلبه,يوم; تقولو ليه; مستنى منى ايه; نص عمرى; خسرت الناس,0.9467; 0.9420; 0.9392; 0.9380; 0.9365
حال الجريح,بيتكلم عليا; خدنى الحنين; اسكت; نجم عالى; نص عمرى,0.9272; 0.9265; 0.9259; 0.9236; 0.9228
حنينك حنينى,تروح; يوم; مستنى منى ايه; سلف ودين; للهوى احكام,0.9458; 0.9429; 0.9422; 0.9411; 0.9395
حلف القمر,قلبى الشوق; نجوم الليل; خدنى الحنين; الدهب حبيبى; سلف ودين,0.9249; 0.9216; 0.9208; 0.9164; 0.9152
هى الايام,قول الكلمتين; يوم; تروح; مستنى منى ايه; للهوى احكام,0.9432; 0.9391; 0.9389; 0.9383; 0.9343
انت غيرهم,بنفكر بالناس; ماعرفش; حد ينسى قلبه; اسكت; بيتكلم عليا,0.9291; 0.9257; 0.9098; 0.9095; 0.9094
اسكت,زمن العجايب; قول الكلمتين; دول مش حبايب; خدنى الحنين; كلام الناس,0.9503; 0.9491; 0.9486; 0.9471; 0.9443
خدنى الحنين,سلف ودين; اه حبايب; دول مش حبايب; قول الكلمتين; بيتكلم عليا,0.9549; 0.9505; 0.9500; 0.9485; 0.9479
كلامك حبيبى,اصعب فراق; قول الكلمتين; اه حبايب; مستنى منى ايه; سلف ودين,0.9463; 0.9403; 0.9336; 0.9322; 0.9321
كلام الناس,اسكت; بنفكر بالناس; دول مش حبايب; الصبر طيب; خدنى الحنين,0.9443; 0.9356; 0.9349; 0.9344; 0.9340
كده كفايه,بيتكلم عليا; نجوم الليل; اصعب فراق; خسرت الناس; 7 صاحى الليل,0.9471; 0.9399; 0.9290; 0.9260; 0.9222
خسرت الناس,بيتكلم عليا; اصعب فراق; يوم; تقولو ليه; نص عمرى,0.9509; 0.9508; 0.9479; 0.9462; 0.9461
يوم,مستنى منى ايه; نص عمرى; تخسر رهانك; انا راضى بالسهر; تروح,0.9635; 0.9557; 0.9530; 0.9523; 0.9514
كلنا مجاريح,الزمن دوار; عشاق اخر زمن; طبيب جراح; ليل العاشقين; بستنى باليوم واليومين,0.9286; 0.9202; 0.9190; 0.9180; 0.9144
ليل العاشقين,لعبه نظر; اه حبايب; زمن العجايب; دول مش حبايب; الله كريم,0.9386; 0.9382; 0.9350; 0.9337; 0.9321
ليله وداعنا حبيبى,شكرا; اتاخرت كتير; نص عمرى; اسكت; بيتكلم عليا,0.9426; 0.9416; 0.9410; 0.9391; 0.9388
تروح,انا راضى بالسهر; يوم; مستنى منى ايه; حنينك حنينى; للهوى احكام,0.9522; 0.9514; 0.9513; 0.9458; 0.9457
عاشق,عشاق اخر زمن; ياه عالزمن; بيتكلم عليا; حد ينسى قلبه; مستنى منى ايه,0.9372; 0.9363; 0.9335; 0.9333; 0.9329
لعبه نظر,الكلمه الطيبه; تروح; ليل العاشقين; بإسم الحب الجميل; خدنى الحنين,0.9424; 0.9400; 0.9386; 0.9381; 0.9356
لعب الهوى,لعبه نظر; نص عمرى; يوم; بإسم الحب الجميل; عاشق,0.9273; 0.9259; 0.9219; 0.9215; 0.9214
ليه تهربى,اصعب فراق; بيحسدونى; مستنى منى ايه; تقولو ليه; روحوله وإسالوه,0.9185; 0.9131; 0.9124; 0.9100; 0.9088
للهوى احكام,قول الكلمتين; سلف ودين; مستنى منى ايه; يوم; تروح,0.9504; 0.9482; 0.9477; 0.9460; 0.9457
لسه الدنيا بخير,نجوم الليل; بيتكلم عليا; حد ينسى قلبه; بنفكر بالناس; اصعب فراق,0.9368; 0.9293; 0.9291; 0.9289; 0.9284
ماعرفش,انت غيرهم; انا راضى بالسهر; قول الكلمتين; سكت الكلام; هى الايام,0.9257; 0.9250; 0.9220; 0.9174; 0.9163
ملكه جمال الروح,سلف ودين; زمن العجايب; خدنى الحنين; هى الايام; اه حبايب,0.9389; 0.9307; 0.9306; 0.9305; 0.9281
تقولو ليه,نجم عالى; خسرت الناس; سكت الكلام; نص عمرى; ياه عالزمن,0.9487; 0.9462; 0.9456; 0.9444; 0.9440
بستنى باليوم واليومين,خدنى الحنين; حنينك حنينى; نص عمرى; مستنى منى ايه; اه حبايب,0.9304; 0.9266; 0.9231; 0.9228; 0.9221
مستنى منى ايه,يوم; قول الكلمتين; بيحسدونى; تروح; نص عمرى,0.9635; 0.9552; 0.9541; 0.9513; 0.9505
ورايح,ياه عالزمن; بيتكلم عليا; نجم عالى; تقولو ليه; خسرت الناس,0.9314; 0.9217; 0.9207; 0.9184; 0.9180
نجم عالى,تقولو ليه; خسرت الناس; بيتكلم عليا; نص عمرى; سكت الكلام,0.9487; 0.9435; 0.9420; 0.9398; 0.9395
نص عمرى,يوم; بيتكلم عليا; مستنى منى ايه; بيحسدونى; شكرا,0.9557; 0.9509; 0.9505; 0.9501; 0.9499
عشاق اخر زمن,سيبهم; الله كريم; بإسم الحب الجميل; اسكت; بنفكر بالناس,0.9458; 0.9431; 0.9401; 0.9393; 0.9380
رقصه اسبانى,اصعب فراق; نص عمرى; سلف ودين; الايام دى صعبه شويه; خدنى الحنين,0.9317; 0.9315; 0.9297; 0.9292; 0.9284
روحوله وإسالوه,بيتكلم عليا; اصعب فراق; تقولو ليه; مستنى منى ايه; اه حبايب,0.9493; 0.9419; 0.9348; 0.9329; 0.9308
روحى نسمه,الله كريم; بنفكر بالناس; طبيب جراح; سلف ودين; دول مش حبايب,0.9395; 0.9317; 0.9300; 0.9291; 0.9286
7 صاحى الليل,نجوم الليل; سكت الكلام; قلب العاشق دليله; اصعب فراق; الكلمه الطيبه,0.9448; 0.9419; 0.9414; 0.9406; 0.9370
صابر وراضى,اصعب فراق; للهوى احكام; الصبر طيب; سلف ودين; مستنى منى ايه,0.9431; 0.9317; 0.9303; 0.9295; 0.9277
سلف ودين,خدنى الحنين; للهوى احكام; اصعب فراق; الله كريم; قول الكلمتين,0.9549; 0.9482; 0.9462; 0.9454; 0.9452
صياد الطيور,زمن العجايب; الدهب حبيبى; طبيب جراح; اسكت; 7 صاحى الليل,0.9351; 0.9262; 0.9262; 0.9258; 0.9242
سيبهم,عشاق اخر زمن; بيتكلم عليا; دول مش حبايب; الفرقه صعبه; خدنى الحنين,0.9458; 0.9305; 0.9231; 0.9221; 0.9197
سهرت الليل,دول مش حبايب; اصعب فراق; تروح; نجوم الليل; سكت الكلام,0.9096; 0.9067; 0.9054; 0.9049; 0.9049
سكت الكلام,نجوم الليل; تقولو ليه; نص عمرى; بنفكر بالناس; 7 صاحى الليل,0.9460; 0.9456; 0.9426; 0.9424; 0.9419
شكرا,بيتكلم عليا; بيحسدونى; مستنى منى ايه; نص عمرى; اصعب فراق,0.9547; 0.9501; 0.9501; 0.9499; 0.9482
الدنيا,نص عمرى; يوم; مستنى منى ايه; تخسر رهانك; اتاخرت كتير,0.9489; 0.9484; 0.9470; 0.9437; 0.9429
طبيب جراح,دول مش حبايب; زمن العجايب; اصعب فراق; خدنى الحنين; ذكريات,0.9593; 0.9555; 0.9532; 0.9473; 0.9464
تخسر رهانك,يوم; مستنى منى ايه; شكرا; الدنيا; بيحسدونى,0.9530; 0.9474; 0.9448; 0.9437; 0.9414
ياه عالزمن,الكلمه الطيبه; تقولو ليه; بيتكلم عليا; نص عمرى; عاشق,0.9489; 0.9440; 0.9407; 0.9390; 0.9363
نجوم الليل,قلب العاشق دليله; اصعب فراق; بنفكر بالناس; خدنى الحنين; سكت الكلام,0.9537; 0.9514; 0.9467; 0.9465; 0.9460
يوم الوادع,دول مش حبايب; بيتكلم عليا; بنفكر بالناس; نص عمرى; اسكت,0.9421; 0.9405; 0.9382; 0.9354; 0.9348
زمن العجايب,طبيب جراح; اسكت; دول مش حبايب; بنفكر بالناس; ذكريات,0.9555; 0.9503; 0.9459; 0.9433; 0.9423
ذكريات,طبيب جراح; زمن العجايب; دول مش حبايب; اسكت; خدنى الحنين,0.9464; 0.9423; 0.9405; 0.9363; 0.9358
